id,storage_capacity,cpu_cores,cpu_clock,ram_capacity,touch_screen,screen_size,screen_refresh,battery_capacity,year,dedicated_gpu,rating,price,used,ram_type_DDR3,ram_type_DDR4,ram_type_DDR5,ram_type_LPDDR4,ram_type_LPDDR5,fair_price
150,512,8,4.5,16,False,16.0,60,38,2026.0,False,5.0,629.99,False,False,True,False,False,False,712.33
149,2000,12,3.8,64,False,14.0,60,45,2025.0,False,4.3,1959.95,False,False,False,True,False,False,1874.62
148,2000,12,1.3,64,False,14.0,60,45,2025.0,False,0.0,1749.95,False,False,False,True,False,False,1724.18
147,1000,12,3.8,64,False,14.0,60,45,2025.0,False,0.0,1859.95,False,False,False,True,False,False,1790.2
146,1000,12,1.3,64,False,14.0,60,45,2025.0,False,0.0,1599.95,False,False,False,True,False,False,1636.38
145,1000,12,1.3,64,False,14.0,60,45,2025.0,False,0.0,1619.95,False,False,False,True,False,False,1636.38
144,512,12,3.3,32,True,14.0,60,45,2025.0,False,0.0,1349.95,False,False,False,True,False,False,1372.1
143,512,12,1.7,32,False,14.0,60,45,2025.0,False,5.0,1349.95,False,False,False,True,False,False,1318.75
142,512,12,1.3,32,False,14.0,60,45,2025.0,False,0.0,1159.95,False,False,False,True,False,False,1228.82
141,1000,12,3.3,32,True,14.0,60,45,2025.0,False,0.0,1449.95,False,False,False,True,False,False,1435.5
140,1000,12,1.7,32,False,14.0,60,45,2025.0,False,4.2,1439.95,False,False,False,True,False,False,1390.85
139,1000,12,1.3,32,False,14.0,60,45,2025.0,False,5.0,1245.95,False,False,False,True,False,False,1255.98
138,1000,12,1.3,32,False,14.0,60,45,2025.0,False,4.5,1209.95,False,False,False,True,False,False,1243.59
137,512,12,3.3,16,True,14.0,60,45,2025.0,False,0.0,1129.95,False,False,False,True,False,False,1088.49
136,512,12,3.5,16,False,14.0,60,45,2025.0,False,5.0,1149.95,False,False,False,True,False,False,1105.24
135,512,12,1.3,16,False,14.0,60,45,2025.0,False,0.0,998.95,False,False,False,True,False,False,1017.16
134,512,12,3.5,16,False,14.0,60,45,,False,4.3,959.95,False,False,False,True,False,False,1012.42
133,64,2,1.1,4,True,14.0,60,46,2025.0,False,4.3,299.0,False,False,True,False,False,False,261.66
132,512,8,2.6,8,True,14.0,60,46,2025.0,False,4.3,449.0,False,False,True,False,False,False,433.83
131,256,5,1.6,8,True,15.6,60,46,2024.0,False,4.3,379.99,False,False,False,True,False,False,371.2
130,1000,8,4.5,24,False,15.6,60,38,2024.0,False,4.3,698.88,False,False,True,False,False,False,692.04
129,512,8,4.5,16,False,15.6,60,38,2024.0,False,4.3,578.0,False,False,True,False,False,False,542.93
128,1000,8,4.5,16,False,15.6,60,38,2024.0,False,4.3,639.0,False,False,True,False,False,False,656.39
127,2000,8,4.5,40,False,15.6,60,38,2024.0,False,4.3,899.0,False,False,True,False,False,False,850.1
126,1000,8,4.5,40,False,15.6,60,38,2024.0,False,4.3,799.0,False,False,True,False,False,False,784.11
125,1000,8,3.8,32,False,16.0,180,65,2025.0,True,4.1,1199.99,False,False,False,True,False,False,1115.68
124,1000,8,3.5,8,False,15.4,60,66,2023.0,False,4.4,966.9,True,False,True,False,False,False,865.21
123,256,8,3.5,8,False,15.0,60,66,2023.0,False,4.4,729.0,True,False,False,True,False,False,644.86
